,country,description,points,price,variety,description_length
0,US,good dry creek zin robust dry spicy really get tastebud watering tart flavor sour cherry candy red currant blueberry tart raisin oodles peppery spice drink lusty wine barbecue,89,25.0,Zinfandel,237
1,France,herbaceous character make wine seem rather thin soft lightweight lemon zest character mildly attractive ready drink,84,20.0,Bordeaux-style White Blend,155
2,US,little simple easy wealth raspberry strawberry floral note delicate wine bit sweet taste although good acidity,84,19.0,Rosé,183
3,US,dry farmed vineyard treated wild yeast minimal new french oak petite chewy leathery tannin definite crowd pleaser petite fan blackberry coffee pepper commingle impressively,88,38.0,Petite Sirah,220
4,US,site near annapolis wine show preponderance dark grape cherry flavor interwoven cinnamon black peppercorn light bodied ethereally layered touch rustic earthiness leather,91,62.0,Pinot Noir,224
5,US,mix cabernet cab franc syrah ordinary blend little funky meaty still offer lot juicy black fruit whole lot toasted oak one thing announces wood keep everything austere maybe touch overcharred,89,42.0,Bordeaux-style Red Blend,290
6,Italy,taurasi wine flaunt determined powerful personality fatica contadina exception thanks deep layer spice dark fruit tobacco cigar delivers sens palate austere tightly structured,89,32.0,Aglianico,258
7,US,sourced entirely walla walla le collines vineyard lovely syrah feature pretty strawberry cherry flavor broadly displayed rich vein chocolate forward flavorful drinking quite nicely already stuffing cellar year,90,40.0,Syrah,293
8,US,lot like viognier dry zesty acidity complex flavor citrus peach kumquat white pepper chamomile honey,90,20.0,Viognier,156
9,US,crisp refreshing sauvignon blanc fermented aged stainless steel show rich savory citrus green grass flavor hint mineral flower drinkable bone dry,90,21.0,Sauvignon Blanc,191
10,US,proprietary bottling shafer always huge wine contains splash petite verdot gigantically packed blackberry jam black currant dark chocolate sweet oak courtesy month new french oak barrel wine bit bully balance age give,92,72.0,Cabernet Sauvignon,340
11,Italy,made organically farmed fruit blend sangiovese cabernet sauvignon colorino open inky dark color savory aroma ripe fruit prune plum leather tobacco exotic spice firm well structured velvety feel tannin,89,35.0,Red Blend,272
12,Italy,aroma blue flower black skinned fruit whiff mediterranean scrub meld glass chewy straightforward palate dole juicy black cherry ground pepper made drink young enjoy soon,89,22.0,Nero d'Avola,218
13,Italy,bright clean linear pretty accent spice blackberry leather lingering tobacco villa al cortile riserva kind wine want pair hearty meat dinner wine show velvety soft texture mouth,91,60.0,Sangiovese Grosso,240
14,US,though labeled simply columbia valley grape single vineyard rattlesnake hill ava fruit best girly girl lineup though promising beginning cassis berry scented black olive herb quickly fade forest floor finale decaying leaf,85,19.0,Cabernet Sauvignon,280
15,US,vintage blend marsanne grenache blanc picpoul roussanne complex rich dense wrap stone tropical fruit flavor layer caramel nougat marshmallow spice still quite young plenty year life ahead,92,25.0,White Blend,268
16,Italy,blend nero avola syrah merlot cabernet sauvignon campobello entry level red slightly muddled good job offering genuine fruit flavor overall freshness,86,17.0,Red Blend,192
17,US,unusual wine display note cigar box strong green herb woodspice drink lighter side medium bodied coffee nori flavor smoke filled finish,82,22.0,Tempranillo,183
18,US,bit rough texture otherwise pretty flavorful vanilla lime strawberry yeast flavor great sparkling wine everyday,87,30.0,Sparkling Blend,147
19,France,bad name wine express nature vineyard certainly approachable friendly almost also steel fist demand time wait great wine drink,93,92.0,Chardonnay,255
20,US,like photocopy photocopy thinned pinot noir contains suggestion real thing dry watery cherry cola flavor,82,12.0,Pinot Noir,152
21,US,spicy dry zin offer flavor currant tobacco pepper cocoa tannin thick acidity low giving soft mouthfeel could concentrated elegant wine,87,36.0,Zinfandel,203
22,US,fresh ripe raspberry aroma cut cranberry skin tartness wine josh baker matt brain also managed sneak blood pencil shaving eucalyptus vanilla stick nose appellation blend lively tasty ripe tart red fruit sipped juicy yet cut chaparral scrub element,91,30.0,Pinot Noir,340
23,US,pleasant fruity rich bordeaux blend impress sheer wealth flavor flood mouth blackberry cherry red black currant sweet smoky oak firm finely ground tannin feel direct simple could function youth try holding year see go,89,40.0,Bordeaux-style Red Blend,338
24,France,powerful intense without going top fine example white hermitage golden straw color give first indication richness followed scent honey even hint butterscotch unctuous mouth boasting flavor grilled nut stone fruit finishing touch warmth,92,50.0,Rhône-style White Blend,336
25,US,though huge tannic monster right bordeaux blend first release new brand name steven kent winery ode steven kent mirassou family long lineage california winemaking root livermore history wine well majority cabernet lush cassis black cherry one would hope wine show nicely honed herbal note cab franc middle little touch spice finish coming petit verdot malbec merlot round blend give one time surely reward,94,125.0,Bordeaux-style Red Blend,594
26,US,dry bone bristling minerality elegant rosé balance penetrating strawberry cherry plum flavor sharp lime tinged acidity hint wildflower drink,88,20.0,Rosé,196
27,US,one first pinot released fresh young wine beaujolais nouveau like flavor freshly crushed cherry tangy acidity fun wine drink juicy cheeseburger,85,16.0,Pinot Noir,203
28,US,good introduction steven kent livermore cabernet sourced handful single vineyard designates including ghielmetti home ranch smith ranch cab smattering cab franc malbec petit verdot coming varietal livermore still need time develop essential,89,35.0,Cabernet Sauvignon,358
29,France,syrah cabernet sauvignon make warm blend full herbal concentrated black fruit dark tannin spice provides reminder wine come warm climate drink although wine better,91,40.0,Red Blend,244
30,Italy,open pretty floral fragrance acacia spanish broom chamomile palate dole white peach tangerine zest alongside fresh acidity,87,20.0,White Blend,158
31,France,green vegetable aroma mingle fresh kiwi lime touch pepper salt wine going sort closed phase common chenin blanc fruit hint texture smooth give another year fruit come together mature almond flavor,91,22.0,Chenin Blanc,299
32,US,ripe orange lime honey flavor combine tingly mouth watering acidity give dry chardonnay sweet sour taste easy wine drink mushroom risotto garlic shrimp chicken fajitas,87,20.0,Chardonnay,213
33,US,delicate pinot noir provides plenty drinking pleasure without limitation chief among hint raw dank mushroom strong enough weigh raspberry cherry drink,87,45.0,Pinot Noir,241
34,US,shade kathy joseph creation rosé colored sunglass comfort furthered cherry cola maraschino cherry nose slight effervescent zing palate accompanies pomegranate flavor followed impressively long finish great fresh garden salad able handle substantial fare breaded chicken cutlet cheeseburger,89,22.0,Pinot Noir,393
35,France,overt round chunky aroma berry stone fruit quite lively zesty purity flavor touch limited scope complexity yes nectarine orange flavor crystalline mouthfeel rock imported vranken america,90,130.0,Champagne Blend,271
36,Italy,pale pink sparkler load intensity elegance essence open delicate aroma cranberry toasted almond mature fruit grapefruit wine perlage steady foamy,90,36.0,Sparkling Blend,192
37,US,nasty hit mouth astringent green flavor turn harsher bitter finish,80,24.0,Zinfandel,100
38,US,wine excellently layered yet light nose mix pomelo skin tangelo lime spritzed pink apple note palate extremely nervy grippy lemon skin texture squeezed citrus flavor balanced riper apple like biting cold crisp ripe pear nectarine,93,30.0,Grüner Veltliner,299
